id,pid,acronym,name,local name,keywords,website,lead organisation,additional organisations,description,contact email,type,type other,design,design description,design schematic,design schematic_filename,collection type,logo,logo_filename,number of participants,number of participants with samples,countries,regions,population age groups,inclusion criteria,other inclusion criteria,start year,end year,population disease,population oncology topology,population oncology morphology,prelinked,linkage possibility description,release type,release description,linkage options,data holder,data access conditions,data use conditions,data access conditions description,data access fee,design paper,publications,informed consent type,funding statement,acknowledgements,supplementary information
INMI-Biobank,21.12110/1.A915-AFFD-38FF,INMI-Biobank,Centro Risorse Biologiche INMI L. Spallanzani,,,https://www.inmi.it/servizio/laboratorio_di_microbiologia_e_banca_biologica,,,"The INMI-Biobank  is a repository of clinical samples from infectious disease patients, viral and bacterial strains and related nucleic acids. It offers a service of sample preparation and long-term storage to researchers from the Spallanzani Institute as well as other research centres, in the framework of established collaborations. INMI is research hospital devoted to the fight against infectious diseases and its Biobank was established from old pre-existing collection in 2000 and currently hosts a very large amount of biological materials belonging to more than 100 different collection/research projects. Scope of the Biobank is the long term storage of biological materials that offers its expertise and its facility. The Biobank aims to be an important support for epidemiological, basic and clinical biomedical research.",carla.fontana@inmi.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BIOBANCA LRPO-ISPRO,21.12110/1.8E25-E632-0960,BIOBANCA LRPO-ISPRO,Biobanca del Laboratorio Regionale Prevenzione Oncologica di ISPRO,,,,,,"The Regional Laboratory for Cancer Prevention of  ISPRO is involved in programmes of screening prevention of cervical cancer and colorectal cancer, and is involved in research activity on the application of new diagnostic protocols and new molecular tests in screening and early diagnosis of uterine cervical, colorectal, lung, and prostate cancer, and in studies concerning specific genetic changes in carcinogenesis and their possible role in early diagnosis, prognosis, staging and grading of cancer.",s.bisanzi@ispro.toscana.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
CRB IOR,21.12110/1.F3EF-E6A3-B2C2,CRB IOR,Centro Risorse Biologiche Istituto Ortopedico Rizzoli,,,http://www.ior.it/en/ricerca-e-innovazione/biological-resource-centre,,,"The CBR-IOR born from the joint work of 3 research biobanks (BIOGEN RA-BioBank MUSCO-BIOTUM) to collect, store and. provide biological samples and data associated with them, both clinical, imaging, biological and genetic, in support of research. In. 2017 it is defined as an organizational structure in the Scientific Direction staff its objectives are the coordination and. harmonization of procedures in accordance with national and international standards, the management of sensitive data in. compliance with the protection of patients' rights working in network with the involvement of various stakeholders (networks,. patient associations, companies, etc.).",luca.sangiorgi@ior.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BioRiRE,21.12110/1.E12A-0940-EAE9,BioRiRE,Biobanca di ricerca AUSL - IRCCS di Reggio Emilia,,,http://www.asmn.re.it/biobanca-di-ricerca-asmn,,,"In order to support the local, national and international research, we established an hospital-based Biobank, which stores samples from oncological patients at the AUSL di Reggio Emilia – IRCCS. We store surgical tissues and blood derivatives for specific research projects.",simonetta.piana@ausl.re.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BioBank FBF,21.12110/1.2C63-0C93-D495,BioBank FBF,Biobanca IRCCS Istituto Centro San Giovanni Di Dio Fatebenefratelli,,,https://www.fatebenefratelli.it/it/ricerca_irccs-brescia#tab-11,,,"The BioBank FBF main goal is to provide human biological samples for studies aimed to 1) investigate genetic causes; 2) identify molecular marker; 3) to carry out molecular biology studies to highlight the pathogenetic mechanism in neurodegenerative and psychiatric disorders. Collected samples are DNA, plasma, serum, cerebrospinal fluid and primary fibroblasts cultures. The biological material was collected from more than 12000 patients affected by the major neuropsychiatric disorders (e.g. Alzheimer's disease, Frontotemporal dementia, major depression, bipolar disorder, schizophrenia, borderline personality disorder) and more than 1500 control subjects (with no psychiatric/cognitive disorders).",lbenussi@fatebenefratelli.eu,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BBB,21.12110/1.F78B-B8E5-8509,BBB,Biobanca per la ricerca Bruno Boerci,,,http://www.fondazionebrunoboerci.org,,,"Dal dicembre 2009, data della sua inaugurazione, la Biobanca Oncologica ""Bruno Boerci"" ha consensualmente raccolto, processato, stoccato e caratterizzato il materiale biologico (tessuto tumorale e sano, sangue, plasma, PBMCs, tessuto in OCT, PDOs da carcinoma mammario) da oltre 3000 pazienti affetti da differenti patologie tumorali (mammella, colon-retto, tiroide, stomaco, rene, mesotelioma pleurico maligno) (per ogni campione è inoltre presente tessuto FFPE). 
Certificata ISO 9001 la Biobanca Oncologica ""Bruno Boerci"", grazie alla stretta e proficua collaborazione con le Chirurgie, l'Anatomia Patologica e l'Oncologia Traslazionale dell'ICS Maugeri di Pavia, rappresenta un servizio di basilare importanza in grado di fornire, nel pieno rispetto delle normative nazionali ed internazionali e dei diritti dei pazienti e dei donatori, materiale biologico ed informazioni cliniche di qualità certificata a supporto di vari progetti sia interni che esterni all’Istituto.",fabio.corsi@icsmaugeri.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
FdG,21.12110/1.B83A-FE48-A2FB,FdG,COVID-19 Don Gnocchi,,,,,,The initial COVID sample collection includes 30 biological samples collected in the last month from individuals hospitalized in IRCCS Santa Maria Nascente FdG . The collection is ongoing and is associated to clinical and demographic  database and to informed written consent approved by the Ethics Committee of Don Gnocchi Foundation,msaresella@dongnocchi.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
SATURNE,21.12110/1.141E-8429-D0A0,SATURNE,Banca Biologica di Ricerca Cardiovascolare-Istituto di Ricerche Farmacologiche Mario Negri IRCCS,,,http://www.marionegri.it,,,"La Biobanca Saturne fa parte del Centro di Risorse Biologiche dell’Istituto Mario Negri, certificato UNI EN ISO 9001:2015. All’interno di essa sono conservati campioni biologici (sangue, plasma, siero, urina, liquor, feci) raccolti durante studi clinici farmacologici nell’ambito delle malattie cardiovascolari (insufficienza cardiaca, infarto miocardico acuto, fibrillazione atriale, cardiochirurgia, diabete mellito) della terapia intensiva (sepsi, trauma cranico, neurochirurgia) e delle malattie rare (angiomi cavernosi cerebrali). L’ambizione della biobanca è contribuire alla scoperta e allo sviluppo clinico di biomarcatori che consentiranno di migliorare la diagnosi precoce e la cura dei pazienti affetti da queste malattie. È presente anche una sezione in cui sono conservati campioni di sangue utilizzabili a fini di ricerca sugli aspetti genetici delle malattie cardiovascolari, prevenienti da pazienti con scompenso cardiaco o infarto del miocardio e da soggetti sani.",deborah.novelli@marionegri.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
Biobanca Bruno Boerci,21.12110/1.2655-6EA8-9D5F,BRC-ICH,Humanitas Hospital Biological Resources Center,,,,,,"The Humanitas Center for Biological Resources is aimed at biomedical research promotion, new therapy development, monitoring therapy impact and collecting systematically information on the evolution of different diseases over time. The BRC is composed of several pathology biobanks: at the moment we have activated an Oncological Biobank for solid tumor sample and data collection, an Hematological Biobank and, very recently, an Autoimmunity and Inflammation diseases Biobank. Beside the institutional biobanks within the BRC are stored also sample collections performed within specific studies. Moreover, the BRC is  in charge of sample collection for clinical trials.",daniela.pistillo@cancercenter.humanitas.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
B4MED,21.12110/1.B4A7-4CCE-918E,B4MED,Biobank for Translational Medicine Unit,,,,,,Oncological biobank,giuseppina.bonizzi@ieo.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
IRCCS-CROB BBB,21.12110/1.3308-4F1F-97AA,IRCCS-CROB BBB,IRCCS-CROB BASILICATA BIOBANK,,,http://www.crob.it,,,"Since 2003 IRCCS CROB Basilicata BioBank (IRCCS CROB-BBB) collects human specimens (left-over tissues, cells and biological fluids) and associated data from oncological clinical practice. In 2009 IRCCS CROB-BBB became part of the Italian network of oncological biobanks (RIBBO) and subsequently joined the Italian Biobanking and BioMolecular resources Research Infrastructure (BBMRI). The IRCCS CROB-BBB is specifically set up to serve as a resource for research in the field of oncology and aims to be part of national and international networks in order to promote collaboration between researchers and improve translational research.
Membership in Biobank Network: BBMRI.it",alessandro.sgambato@crob.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
BIT-Gaslini,21.12110/1.6D4A-5C64-ABC3,BIT-Gaslini,Biobanca Integrata Tessuto-Genomica,,,http://www.gaslini.org/ricerca-scientifica/attivita/biobanche/biobanca-integrata-tessuto-genomica-bit/,,,"The Biobank  Integrated Tissue&omics (BIT) has been established at Gaslini Institute, based on integration between the pathology and molecular biology units, with the aim of not only collecting, storing and distributing tissues and their genomic products but also organizing relevant clinical, demographical, molecular and other information on the donor/sample, thus generating a digital biobank. The comprehensive database thus implemented contains clinical data, pathology classifications, DNA structure, Gene expression profile, miRNA profile, NGS  etc. This organization constitutes an added value for clinical usage (prognostic factors, therapy indicators) primarily available to the patient, and research (datamining, biomarkers, pathways etc).",bit-gaslinibiobank@gaslini.org,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
CHRIS,21.12110/1.9AC7-A02F-4505,CHRIS,Cooperative Health Research in South Tyrol Study Biobank,,,http://www.eurac.edu/en/research/health/biomed/projects/Pages/CHRIS.aspx,,,"CHRIS study is a longitudinal, population-based study to assess the etiological role of genetic and environmental risk factors, and their interactions, on cardiovascular, neurological, and metabolic conditions. It raises from the collaboration between the South Tyrol Health System and Eurac Research?, and that aims to involve individuals aged 18 or older by taking part of an interview, enrolling in a quick free clinical assessment, and by providing a sample of blood. Participation in the CHRIS Study is completely voluntary. Individuals participating will get a feedback on some of the health parameters being measured, taking the first step towards proactive prevention and improved personal health. Equally important, their participation will provide the local health system with insights for the creation of preventive medicine plans, laying the foundation for improved health care for all of the people of South Tyrol.",alessandro.degrandi@eurac.edu,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
ARC-Net,21.12110/1.7FCD-3F1D-6871,ARC-Net,ARC-Net,,,https://arcnetit.wordpress.com/,,,"The ARC-Net biobank has been operational since 2009 and is part of the ARC-NET centre for applied research on cancer at the University of Verona, focusing on the identification of new markers/targets for cancer and accelerate clinical introduction of new information using technological platforms within an integrated network.

The biobank collects surgical and bioptic cancer tissue treated using different methods. Fresh tissue is also used to create a bank of cell cultures, 3D organoids and xeno-transplanted mouse models. The bank also conserves blood samples and processed derivatives, collected at different time points. Urine and Saliva are also conserved in the biobank.

Samples are molecularly characterized and validated with tissue microarrays. All samples are digitally imaged as a whole and as part of the extraction process. These data and images are associated with the clinical and pathological data in the biobank databank.",ritateresa.lawlor@univr.it,Biobank,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,
